id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
280401015,2,home,,,,3,3
280401016,2,away,,,,3,3
280401019,2,away,,,,1,3
280401023,2,home,,,,3,2
280401004,2,away,,,,3,3
280401017,2,away,,,,3,3
280401024,2,home,,,,3,3
280402001,2,home,,,,3,3
280402002,2,home,,,,3,2
280402025,2,away,,,,2,3
280402026,2,home,,,,3,3
280402027,2,away,,,,3,3
280402029,2,home,,,,3,3
280402030,2,away,,,,3,2
280402013,2,home,,,,2,2
280402014,2,away,,,,3,3
280402006,2,home,,,,2,3
280403023,2,home,,,,3,4
280403022,2,away,,,,2,2
280403005,2,away,,,,3,2
280404026,2,home,,,,3,2
280404003,2,home,,,,3,3
280404021,2,home,,,,3,3
280404028,2,away,,,,3,3
280404029,2,away,,,,3,4
280404001,2,away,,,,3,2
280404013,2,home,,,,2,3
280404015,2,away,,,,3,2
280404025,2,away,,,,2,3
280404008,2,home,,,,1,1
280404027,2,home,,,,3,3
280405005,2,away,,,,3,1
280405007,2,away,,,,2,3
280405020,2,away,,,,3,4
280405030,2,away,,,,3,3
280405004,2,away,,,,2,3
280405017,2,home,,,,1,4
280406003,2,home,,,,3,3
280406021,2,away,,,,3,3
280406022,2,away,,,,2,2
280406016,2,away,,,,3,3
280406011,2,home,,,,3,3
280406014,2,away,,,,3,2
280406023,2,away,,,,3,2
280406025,2,home,,,,2,3
280406012,2,away,,,,3,3
280406018,2,home,,,,3,2
280408003,2,away,,,,3,2
280408011,2,home,,,,3,3
280408015,2,away,,,,3,2
280408022,2,home,,,,3,3
280408029,2,away,,,,3,2
280408030,2,home,,,,3,3
280408006,2,home,,,,3,3
280408009,2,home,,,,3,3
280408012,2,away,,,,3,2
280408014,2,home,,,,3,2
280408008,2,away,,,,2,2
280409005,2,home,,,,2,2
280409016,2,away,,,,3,3
280409019,2,home,,,,2,3
280409020,2,home,,,,2,2
280409027,2,home,,,,2,2
280409028,2,home,,,,2,3
280409010,2,home,,,,3,3
280409018,2,home,,,,2,3
280409024,2,away,,,,2,3
280410009,2,away,,,,3,3
280410006,2,home,,,,3,2
280410012,2,away,,,,2,3
280411004,2,home,,,,3,2
280411019,2,away,,,,3,3
280411020,2,away,,,,2,2
280411023,2,home,,,,3,2
280411028,2,home,,,,2,3
280411002,2,home,,,,3,3
280411010,2,home,,,,2,3
280411013,2,home,,,,3,3
280411014,2,away,,,,3,2
280411018,2,away,,,,3,2
280411024,2,home,,,,2,3
280411008,2,home,,,,3,1
280412001,2,away,,,,2,3
280412011,2,away,,,,3,2
280412022,2,home,,,,3,3
280412023,2,home,,,,3,4
280412026,2,home,,,,2,3
280412027,2,home,,,,1,2
280412029,2,away,,,,3,4
280412009,2,home,,,,3,3
280412015,2,away,,,,4,2
280413013,2,home,,,,3,2
280413008,2,home,,,,3,2
280413004,2,away,,,,3,2
280413005,2,home,,,,2,2
280413025,2,home,,,,3,3
280413007,2,home,,,,3,2
280414015,2,away,,,,4,4
280414020,2,away,,,,3,3
280414021,2,home,,,,3,3
280414023,2,away,,,,3,3
280414026,2,home,,,,3,3
280414027,2,home,,,,3,3
280414028,2,home,,,,3,3
280414018,2,away,,,,3,4
280415001,2,away,,,,2,3
280415003,2,home,,,,3,2
280415022,2,home,,,,2,2
280415008,2,home,,,,4,3
280415013,2,home,,,,3,3
280415017,2,home,,,,3,2
280416006,2,home,,,,3,3
280416005,2,away,,,,3,3
280416007,2,home,,,,3,3
280416011,2,home,,,,3,2
280416016,2,home,,,,3,3
280416019,2,home,,,,3,3
280416021,2,home,,,,3,3
280416030,2,home,,,,2,3
280416002,2,home,,,,3,3
280416004,2,home,,,,3,3
280416009,2,away,,,,3,2
280416010,2,home,,,,3,3
280416014,2,home,,,,3,3
280416024,2,home,,,,3,2
280419005,3,home,,,,3,2
280419024,3,home,,,,3,2
280419003,3,home,,,,2,2
280419010,3,away,,,,2,2
280420013,3,home,,,,1,1
280420019,3,home,,,,2,2
280420008,3,away,,,,2,2
280420002,3,home,,,,1,2
280421005,3,home,,,,2,2
280421010,3,away,,,,2,2
280422003,3,home,,,,2,2
280422019,3,home,,,,2,2
280422024,3,home,,,,2,1
280423008,3,home,,,,1,1
280423013,3,home,,,,1,1
280423002,3,home,,,,1,1
280424028,3,home,,,,2,2
280424027,3,home,,,,2,2
280424026,3,away,,,,2,2
280425006,3,home,,,,2,2
280425020,3,home,,,,2,2
280425021,3,away,,,,2,2
280426028,3,away,,,,3,3
280426007,3,away,,,,2,2
280426001,3,home,,,,2,2
280426026,3,home,,,,2,2
280427021,3,home,,,,2,2
280427027,3,away,,,,2,2
280427020,3,away,,,,2,2
280427006,3,away,,,,2,2
280428019,3,home,,,,3,3
280428001,3,home,,,,2,2
280428007,3,away,,,,2,2
