id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
400578835,2,home,home,,-2.5,,3,3
400578836,2,home,home,,-10.0,,3,3
400578837,2,home,home,,-4.0,,2,3
400578838,2,away,away,,-3.0,,2,3
400578839,2,home,home,,-13.0,,2,3
400578840,2,home,home,,-4.5,,3,2
400578841,2,away,away,,5.0,,4,4
400578842,2,home,home,,-5.0,,3,3
400578843,2,home,away,,-7.0,,3,3
400578844,2,home,home,,6.0,,3,4
400578845,2,home,home,,-10.5,,2,3
400578846,2,home,away,,-9.0,,3,4
400578847,2,home,home,,-11.0,,3,3
400578848,2,away,away,,10.0,,3,2
400578849,2,home,away,,-12.5,,2,2
400578850,2,home,home,,-4.0,,3,3
400578851,2,away,away,,-10.0,,3,1
400578852,2,home,home,,-4.5,,3,4
400578853,2,home,home,,-4.0,,2,3
400578854,2,away,away,,5.5,,3,3
400578855,2,home,home,,4.0,,3,2
400578856,2,away,away,,6.0,,3,3
400578857,2,away,away,,-7.5,,2,4
400578858,2,away,away,,-11.0,,3,3
400578859,2,away,away,,-11.0,,3,3
400578860,2,away,away,,9.5,,3,3
400578861,2,home,home,,-2.5,,3,2
400578862,2,home,home,,-3.0,,3,3
400578863,2,away,away,,8.0,,3,2
400578864,2,away,home,,5.0,,3,2
400578865,2,away,away,,-2.0,,3,2
400578866,2,away,away,,4.5,,2,3
400578867,2,home,home,,9.0,,3,3
400578868,2,away,away,,6.5,,3,2
400578869,2,away,away,,-3.5,,3,2
400578870,2,home,home,,-15.0,,3,3
400578871,2,away,away,,-6.0,,3,3
400578872,2,away,away,,7.0,,3,3
400578873,2,home,home,,4.5,,1,2
400578874,2,home,home,,-12.0,,2,3
400578875,2,away,away,,-4.5,,3,2
400578877,2,home,home,,-6.5,,2,2
400578876,2,home,home,,-2.0,,3,1
400578878,2,away,away,,4.5,,3,3
400578879,2,away,away,,-1.5,,2,3
400578880,2,away,away,,6.5,,3,2
400578881,2,home,home,,9.5,,3,2
400578882,2,away,away,,-10.5,,3,3
400578883,2,away,away,,4.0,,3,3
400578884,2,away,away,,-3.0,,3,3
400578885,2,home,home,,-2.0,,1,2
400578886,2,home,tie,,-8.0,,2,1
400578887,2,home,home,,-3.0,,3,3
400578888,2,home,away,,-14.0,,2,2
400578889,2,home,home,,-5.5,,2,3
400578890,2,away,away,,-3.5,,2,3
400578891,2,away,away,,-7.0,,2,3
400578892,2,home,home,,-1.5,,1,2
400578893,2,home,home,,-12.5,,3,3
400578894,2,away,away,,-2.0,,3,3
400578895,2,away,away,,-2.5,,3,3
400578897,2,away,away,,4.5,,3,3
400578896,2,home,home,,-1.5,,2,3
400578898,2,away,away,,-11.0,,2,2
400578899,2,away,away,,7.0,,3,2
400578900,2,away,away,,-7.0,,3,3
400578901,2,away,away,,9.0,,3,2
400578902,2,home,home,,-10.5,,3,2
400578903,2,home,home,,-6.0,,2,3
400578904,2,home,home,,-15.0,,4,4
400578905,2,home,home,,-8.5,,4,4
