id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400578860,7.0,2.0,8.0,5.0,29.0,13.0,29.0,15.0,5.0,14.0,16.0,3.0
400578861,25.0,16.0,15.0,9.0,23.0,10.0,12.0,4.0,9.0,8.0,13.0,6.0
400578862,22.0,9.0,19.0,10.0,19.0,8.0,18.0,7.0,13.0,11.0,11.0,9.0
400578863,13.0,6.0,5.0,4.0,29.0,13.0,25.0,11.0,7.0,14.0,16.0,1.0
400578864,16.0,10.0,12.0,6.0,26.0,13.0,21.0,11.0,6.0,10.0,13.0,6.0
400578865,12.0,6.0,21.0,9.0,16.0,9.0,26.0,13.0,6.0,13.0,7.0,12.0
400578866,15.0,8.0,16.0,10.0,23.0,10.0,24.0,12.0,7.0,12.0,13.0,6.0
400578867,14.0,4.0,11.0,5.0,27.0,14.0,27.0,12.0,10.0,15.0,13.0,6.0
400578868,16.0,8.0,11.0,7.0,26.0,11.0,22.0,12.0,8.0,10.0,15.0,4.0
400578869,14.0,5.0,19.0,14.0,18.0,6.0,24.0,14.0,9.0,10.0,12.0,5.0
400578870,25.0,15.0,30.0,14.0,7.0,5.0,12.0,5.0,10.0,7.0,2.0,16.0
400578871,26.0,12.0,12.0,8.0,26.0,9.0,13.0,8.0,14.0,5.0,17.0,4.0
400578872,13.0,9.0,8.0,5.0,30.0,14.0,23.0,11.0,4.0,12.0,16.0,3.0
400578873,17.0,11.0,12.0,6.0,27.0,14.0,20.0,8.0,6.0,12.0,13.0,6.0
400578874,30.0,16.0,21.0,9.0,17.0,10.0,5.0,1.0,14.0,4.0,7.0,12.0
400578875,30.0,18.0,13.0,7.0,25.0,8.0,8.0,3.0,12.0,5.0,17.0,6.0
400578877,20.0,8.0,35.0,18.0,5.0,2.0,19.0,8.0,12.0,11.0,3.0,17.0
400578876,27.0,13.0,19.0,12.0,18.0,7.0,12.0,6.0,14.0,6.0,11.0,7.0
400578878,12.0,6.0,20.0,11.0,19.0,8.0,27.0,14.0,6.0,13.0,11.0,9.0
400578879,15.0,8.0,25.0,10.0,14.0,9.0,25.0,10.0,7.0,15.0,5.0,15.0
400578880,15.0,5.0,11.0,7.0,27.0,12.0,27.0,12.0,10.0,15.0,15.0,4.0
400578881,7.0,2.0,19.0,14.0,19.0,7.0,31.0,16.0,5.0,15.0,12.0,5.0
400578882,27.0,17.0,23.0,10.0,16.0,8.0,12.0,4.0,10.0,8.0,8.0,13.0
400578883,13.0,9.0,14.0,5.0,26.0,14.0,24.0,12.0,4.0,12.0,12.0,9.0
400578884,26.0,16.0,8.0,5.0,31.0,15.0,12.0,5.0,10.0,7.0,16.0,3.0
400578885,18.0,11.0,5.0,4.0,31.0,14.0,20.0,7.0,7.0,13.0,17.0,1.0
400578886,27.0,13.0,20.0,12.0,18.0,6.0,13.0,6.0,14.0,7.0,12.0,8.0
400578887,24.0,13.0,9.0,5.0,30.0,12.0,16.0,6.0,11.0,10.0,18.0,4.0
400578888,23.0,10.0,31.0,15.0,6.0,3.0,18.0,7.0,13.0,11.0,3.0,16.0
400578889,13.0,6.0,28.0,13.0,12.0,6.0,26.0,12.0,7.0,14.0,6.0,15.0
400578890,16.0,10.0,22.0,10.0,17.0,10.0,22.0,12.0,6.0,10.0,7.0,12.0
400578891,26.0,17.0,20.0,11.0,20.0,9.0,13.0,6.0,9.0,7.0,11.0,9.0
400578892,15.0,8.0,26.0,15.0,15.0,7.0,25.0,13.0,7.0,12.0,8.0,11.0
400578893,15.0,5.0,31.0,15.0,8.0,5.0,25.0,15.0,10.0,10.0,3.0,16.0
400578894,27.0,12.0,8.0,5.0,32.0,16.0,14.0,9.0,15.0,5.0,16.0,3.0
400578895,28.0,14.0,6.0,5.0,31.0,14.0,12.0,6.0,14.0,6.0,17.0,1.0
400578897,17.0,8.0,13.0,8.0,27.0,10.0,23.0,13.0,9.0,10.0,17.0,5.0
400578896,28.0,15.0,10.0,6.0,30.0,12.0,11.0,4.0,13.0,7.0,18.0,4.0
400578898,18.0,12.0,32.0,16.0,6.0,3.0,21.0,8.0,6.0,13.0,3.0,16.0
400578899,16.0,10.0,14.0,7.0,26.0,9.0,23.0,13.0,6.0,10.0,17.0,7.0
400578900,26.0,16.0,20.0,15.0,19.0,7.0,13.0,6.0,10.0,7.0,12.0,5.0
400578901,15.0,5.0,20.0,13.0,19.0,7.0,28.0,13.0,10.0,15.0,12.0,7.0
400578902,25.0,14.0,26.0,14.0,14.0,7.0,16.0,6.0,11.0,10.0,7.0,12.0
400578903,16.0,9.0,32.0,16.0,7.0,4.0,25.0,13.0,7.0,12.0,3.0,16.0
400578904,28.0,17.0,32.0,16.0,8.0,5.0,13.0,5.0,11.0,8.0,3.0,16.0
400578905,33.0,16.0,25.0,10.0,16.0,10.0,8.0,3.0,17.0,5.0,6.0,15.0
400578906,27.0,17.0,25.0,12.0,13.0,4.0,14.0,7.0,10.0,7.0,9.0,13.0
400578907,32.0,17.0,22.0,13.0,18.0,6.0,6.0,1.0,15.0,5.0,12.0,9.0
400578908,29.0,16.0,13.0,7.0,28.0,14.0,11.0,4.0,13.0,7.0,14.0,6.0
400578909,28.0,14.0,27.0,16.0,15.0,7.0,13.0,7.0,14.0,6.0,8.0,11.0
400578910,5.0,3.0,20.0,15.0,20.0,8.0,36.0,17.0,2.0,19.0,12.0,5.0
400578912,21.0,11.0,15.0,5.0,27.0,15.0,20.0,9.0,10.0,11.0,12.0,10.0
400578911,21.0,9.0,14.0,7.0,26.0,10.0,19.0,8.0,12.0,11.0,16.0,7.0
400578913,30.0,18.0,24.0,10.0,16.0,6.0,11.0,4.0,12.0,7.0,10.0,14.0
400578914,24.0,11.0,29.0,14.0,12.0,6.0,18.0,7.0,13.0,11.0,6.0,15.0
400578915,18.0,7.0,20.0,13.0,20.0,8.0,22.0,12.0,11.0,10.0,12.0,7.0
400578916,18.0,12.0,16.0,10.0,26.0,11.0,23.0,9.0,6.0,14.0,15.0,6.0
400578917,17.0,10.0,23.0,10.0,18.0,11.0,25.0,13.0,7.0,12.0,7.0,13.0
400578918,22.0,12.0,27.0,15.0,14.0,7.0,20.0,9.0,10.0,11.0,7.0,12.0
400578919,8.0,3.0,36.0,19.0,6.0,2.0,33.0,16.0,5.0,17.0,4.0,17.0
400578920,34.0,17.0,28.0,17.0,15.0,7.0,8.0,3.0,17.0,5.0,8.0,11.0
400578921,16.0,6.0,29.0,15.0,15.0,10.0,26.0,15.0,10.0,11.0,5.0,14.0
400578922,29.0,16.0,14.0,7.0,27.0,11.0,12.0,5.0,13.0,7.0,16.0,7.0
400578923,7.0,3.0,13.0,7.0,29.0,15.0,33.0,16.0,4.0,17.0,14.0,6.0
400578924,20.0,12.0,30.0,15.0,12.0,6.0,21.0,5.0,8.0,16.0,6.0,15.0
400578925,29.0,18.0,20.0,13.0,21.0,9.0,13.0,5.0,11.0,8.0,12.0,7.0
400578926,25.0,12.0,11.0,7.0,31.0,12.0,18.0,7.0,13.0,11.0,19.0,4.0
400578927,16.0,10.0,24.0,10.0,17.0,9.0,25.0,14.0,6.0,11.0,8.0,14.0
400578928,33.0,18.0,13.0,6.0,29.0,14.0,6.0,1.0,15.0,5.0,15.0,7.0
