id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_matchup_result
310222009,2,away,,,,0
310222013,2,home,,,,0
310223005,2,away,,,,-1
310223011,2,home,,,,-1
310223019,2,away,,,,0
310223020,2,home,,,,-1
310223024,2,home,,,,2
310223028,2,home,,,,-2
310223018,2,home,,,,-1
310223016,2,away,,,,-2
310223006,2,home,,,,2
310223021,2,home,,,,1
310223003,2,home,,,,0
310223022,2,away,,,,-1
310224004,2,home,,,,1
310224007,2,home,,,,-1
310225011,2,away,,,,-1
310225020,2,home,,,,-1
310225028,2,away,,,,0
310225030,2,home,,,,1
310225005,2,home,,,,1
310225014,2,home,,,,2
310225016,2,away,,,,2
310225019,2,home,,,,-1
310225024,2,home,,,,1
310225009,2,away,,,,-1
310225013,2,home,,,,0
310225022,2,home,,,,-1
310226008,2,home,,,,-1
310226027,2,away,,,,-1
310226029,2,home,,,,0
310226010,2,home,,,,0
310226015,2,away,,,,-2
310226012,2,away,,,,0
310227011,2,away,,,,-1
310227025,2,away,,,,-1
310227005,2,away,,,,1
310227016,2,home,,,,-2
310227019,2,home,,,,1
310227028,2,away,,,,1
310227003,2,away,,,,2
310227024,2,home,,,,1
310227014,2,away,,,,1
310227022,2,away,,,,0
310228017,2,away,,,,-1
310228027,2,away,,,,-2
310228007,2,home,,,,0
310228026,2,away,,,,-1
310228023,2,home,,,,-3
310301011,2,home,,,,-1
310301019,2,home,,,,1
310301020,2,away,,,,-1
310301028,2,home,,,,-1
310301015,2,home,,,,-2
310301016,2,away,,,,-2
310301029,2,home,,,,-2
310301022,2,away,,,,2
310302001,2,home,,,,0
310302005,2,away,,,,-1
310302027,2,away,,,,0
310302002,2,home,,,,-1
310302008,2,away,,,,-1
310302018,2,home,,,,1
310302025,2,home,,,,1
310302007,2,home,,,,-1
310302023,2,away,,,,0
310302012,2,home,,,,-2
310303014,2,away,,,,1
310303026,2,away,,,,0
310304017,2,home,,,,-1
310304019,2,away,,,,0
310304020,2,home,,,,1
310304001,2,away,,,,-1
310304002,2,home,,,,1
310304018,2,away,,,,-2
310304029,2,away,,,,-1
310304006,2,home,,,,-1
310304015,2,away,,,,-1
310304024,2,home,,,,0
310304013,2,home,,,,-1
310305017,2,home,,,,0
310305027,2,home,,,,-1
310305010,2,home,,,,1
310305026,2,home,,,,2
310305022,2,home,,,,0
310305012,2,home,,,,-1
310306014,2,away,,,,-2
310306024,2,away,,,,2
310306008,2,home,,,,1
310306020,2,home,,,,-1
310306001,2,away,,,,1
310306005,2,away,,,,-1
310306025,2,home,,,,0
310306006,2,away,,,,-1
310306015,2,away,,,,-1
310307019,2,away,,,,-1
310307030,2,away,,,,-1
310307018,2,home,,,,-1
310307004,2,home,,,,1
310307016,2,away,,,,-1
310307029,2,home,,,,1
310307023,2,away,,,,-2
310308001,2,away,,,,-1
310308005,2,away,,,,-1
310308011,2,away,,,,1
310308027,2,away,,,,0
310308014,2,away,,,,1
310308021,2,home,,,,1
310309017,2,home,,,,-1
310309020,2,away,,,,-1
310309028,2,away,,,,-1
310309030,2,away,,,,1
310309002,2,away,,,,1
310309003,2,home,,,,0
310309015,2,home,,,,0
310309016,2,home,,,,-1
310309029,2,away,,,,0
310309024,2,home,,,,1
310309023,2,away,,,,1
310310014,2,home,,,,1
310310006,2,home,,,,1
310310021,2,away,,,,-1
310311017,2,home,,,,1
310311020,2,home,,,,-2
310311028,2,home,,,,-2
310311030,2,home,,,,-1
310311004,2,home,,,,-1
310311016,2,home,,,,-2
310311025,2,home,,,,1
310311024,2,home,,,,1
310311009,2,home,,,,-1
310312014,2,home,,,,-1
310312001,2,home,,,,1
310312027,2,away,,,,0
310312003,2,home,,,,1
310312004,2,home,,,,1
310312015,2,home,,,,-2
310312010,2,away,,,,-2
310312006,2,away,,,,1
310312007,2,home,,,,1
310313005,2,away,,,,-1
310313028,2,away,,,,-3
310313021,2,away,,,,-1
310313002,2,home,,,,2
310313018,2,away,,,,1
310313009,2,home,,,,1
310314017,2,home,,,,-3
310314027,2,away,,,,-1
310314003,2,away,,,,2
310314014,2,home,,,,-1
310314029,2,home,,,,1
310314010,2,home,,,,-2
310314026,2,home,,,,-1
310314023,2,home,,,,-2
310314013,2,home,,,,-1
310315001,2,home,,,,-1
310315011,2,home,,,,0
310315004,2,home,,,,3
310315022,2,home,,,,-2
310316001,2,away,,,,-1
310316002,2,home,,,,2
310316008,2,home,,,,1
310316003,2,home,,,,-1
310316014,2,away,,,,1
310316015,2,away,,,,0
310316010,2,home,,,,-1
310316026,2,home,,,,1
310316023,2,away,,,,1
310316009,2,away,,,,-1
310316012,2,away,,,,-1
310317017,2,away,,,,0
310317018,2,home,,,,1
310317022,2,home,,,,1
310318011,2,home,,,,-3
310318019,2,home,,,,-1
310318028,2,home,,,,-1
310318001,2,away,,,,0
310318008,2,home,,,,-2
310318025,2,home,,,,1
310318006,2,away,,,,-1
310318010,2,home,,,,1
310318015,2,home,,,,2
310318021,2,home,,,,3
310318023,2,away,,,,0
310318013,2,home,,,,3
310319012,2,home,,,,-1
310319014,2,home,,,,-1
310319003,2,away,,,,1
310319029,2,home,,,,1
310319024,2,home,,,,1
310319022,2,home,,,,-1
310320027,2,home,,,,0
310320001,2,home,,,,1
310320015,2,home,,,,0
310320012,2,away,,,,0
310320016,2,away,,,,0
310320010,2,home,,,,0
310320025,2,away,,,,-1
310320006,2,home,,,,2
310320013,2,home,,,,2
310321005,2,away,,,,-3
310321017,2,away,,,,-2
310321018,2,away,,,,-2
310321004,2,home,,,,1
310321029,2,home,,,,-1
310321024,2,home,,,,3
310321007,2,home,,,,1
310322001,2,away,,,,0
310322022,2,home,,,,-1
310322013,2,home,,,,1
310323005,2,away,,,,-1
310323020,2,home,,,,-1
310323030,2,away,,,,-3
310323002,2,away,,,,1
310323008,2,away,,,,-3
310323015,2,away,,,,1
310323018,2,away,,,,-2
310323025,2,home,,,,1
310323010,2,home,,,,1
310323021,2,home,,,,1
310323007,2,home,,,,-3
310323012,2,home,,,,1
310324006,2,home,,,,2
310324026,2,away,,,,0
310325011,2,away,,,,1
310325019,2,home,,,,3
310325002,2,away,,,,1
310325005,2,home,,,,-2
310325014,2,home,,,,2
310325018,2,away,,,,-1
310325004,2,home,,,,1
310325025,2,home,,,,3
310325007,2,home,,,,1
310325021,2,away,,,,0
310325022,2,home,,,,0
310325009,2,home,,,,1
310325013,2,home,,,,1
310326001,2,home,,,,-1
310326030,2,home,,,,-2
310326008,2,home,,,,0
310326015,2,away,,,,-3
310326026,2,away,,,,-3
310326012,2,home,,,,-1
310327020,2,away,,,,1
310327005,2,away,,,,-2
310327014,2,home,,,,1
310327029,2,home,,,,-1
310327016,2,away,,,,-1
310327025,2,home,,,,2
310327009,2,home,,,,1
310327013,2,home,,,,3
310327021,2,away,,,,-2
310328011,2,home,,,,-3
310328030,2,home,,,,-2
310328018,2,home,,,,-3
310328004,2,away,,,,0
310328024,2,away,,,,-1
310328026,2,away,,,,-1
310329005,2,home,,,,-3
310329017,2,away,,,,-1
310329025,2,home,,,,0
310329023,2,home,,,,1
310330001,2,home,,,,1
310330011,2,home,,,,-1
310330020,2,home,,,,1
310330027,2,away,,,,-3
310330028,2,away,,,,-2
310330030,2,home,,,,1
310330018,2,home,,,,2
310330003,2,home,,,,1
310330016,2,away,,,,-1
310330029,2,home,,,,0
310330007,2,home,,,,0
310330021,2,away,,,,-1
310330012,2,away,,,,-2
310331024,2,away,,,,-1
310331013,2,home,,,,0
310401011,2,home,,,,-1
310401019,2,home,,,,2
310401020,2,home,,,,3
310401027,2,home,,,,0
310401008,2,away,,,,-3
310401001,2,home,,,,-2
310401003,2,away,,,,2
310401016,2,away,,,,-1
310401010,2,home,,,,-3
310401021,2,home,,,,1
310401022,2,home,,,,-3
310401023,2,away,,,,-1
310401026,2,away,,,,0
310402004,2,home,,,,1
310402029,2,home,,,,3
310402015,2,home,,,,-1
310402009,2,home,,,,-3
310402012,2,home,,,,0
310403024,2,home,,,,2
310403013,2,away,,,,0
310403002,2,home,,,,1
310403017,2,away,,,,-2
310403018,2,home,,,,-3
310403023,2,home,,,,-3
310403028,2,home,,,,0
310403030,2,away,,,,1
310403003,2,home,,,,-1
310403010,2,home,,,,1
310403022,2,home,,,,-1
310405001,2,away,,,,-1
310405005,2,home,,,,-2
310405017,2,home,,,,-1
310405019,2,home,,,,1
310405027,2,home,,,,-2
310405002,2,home,,,,1
310405018,2,home,,,,3
310405004,2,home,,,,1
310405029,2,away,,,,2
310405010,2,away,,,,3
310405007,2,away,,,,0
310405022,2,away,,,,0
310405013,2,away,,,,1
310406011,2,home,,,,1
310406020,2,away,,,,1
310406028,2,away,,,,2
310406030,2,away,,,,-3
310406008,2,home,,,,-1
310406003,2,home,,,,1
310406014,2,away,,,,3
310406016,2,away,,,,-1
310406025,2,home,,,,-1
310406006,2,away,,,,-1
310406024,2,home,,,,2
310406009,2,home,,,,-3
310407004,2,home,,,,-1
310407026,2,away,,,,-1
310408011,2,home,,,,-3
310408017,2,away,,,,-3
310408020,2,home,,,,-1
310408002,2,home,,,,0
310408005,2,away,,,,-3
310408008,2,home,,,,1
310408014,2,home,,,,3
310408003,2,home,,,,1
310408025,2,home,,,,1
310408029,2,home,,,,1
310408006,2,home,,,,3
310408022,2,home,,,,-3
310409027,2,home,,,,-3
310409010,2,home,,,,1
310409015,2,home,,,,1
310409024,2,home,,,,2
310409007,2,home,,,,3
310410019,2,away,,,,-1
310410014,2,home,,,,-3
310410028,2,home,,,,-1
310410029,2,home,,,,-1
310410030,2,away,,,,1
310410011,2,away,,,,1
310410006,2,home,,,,3
310410009,2,away,,,,1
310410013,2,away,,,,2
310411001,2,away,,,,-1
310411017,2,away,,,,-1
310411020,2,away,,,,-1
310411027,2,home,,,,-1
310411008,2,away,,,,1
310411003,2,away,,,,1
310411015,2,home,,,,3
310411010,2,away,,,,-3
310411007,2,home,,,,0
310411021,2,home,,,,2
310411023,2,away,,,,-3
310412018,2,away,,,,2
310412022,2,home,,,,0
310412013,2,home,,,,-1
310413002,2,home,,,,3
310413004,2,home,,,,1
310413005,2,home,,,,-1
310413006,2,home,,,,-1
310413016,2,away,,,,-1
310413019,2,home,,,,2
310413020,2,away,,,,0
310413025,2,away,,,,1
310413026,2,home,,,,-1
310413028,2,away,,,,-3
