id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,away_total,away_total_lastN,away_away,away_away_lastN,home_total,home_total_lastN,home_home,home_home_lastN
270121022,2,home,,,,-6.13987703118,-5.66666666667,-3.34343434344,-5.0119047619,0.868253968258,0.420091324201,-3.97272727273,-6.40476190476
270122005,2,away,,,,-4.21284656525,-4.0399543379,0.279166666664,0.876984126984,-2.5306599833,-8.16666666667,,
270122007,2,home,,,,-2.88641456582,-2.62328767123,,,2.84695652174,2.83333333333,-1.05555555555,-1.83333333333
270122011,2,home,,,,1.82084582084,0.595238095238,,,-3.54266879166,-3.87328767123,,
270122023,2,home,,,,2.74893435635,4.07142857143,4.48268398269,6.32142857143,-3.33060606061,-3.5,-4.74242424243,-4.07142857143
270122026,2,home,,,,-0.594530681542,-3.12328767123,,,1.67020308123,1.2619047619,,
270122028,2,home,,,,-0.934971145654,-0.404761904762,,,0.755824915827,-0.51614481409,0.16083916084,0.607142857143
270122002,2,away,,,,1.06493805046,2.0,1.57916666667,0.761904761905,-6.30798983625,-11.1666666667,,
270122013,2,home,,,,-3.01427962489,-2.33333333333,,,2.9328320802,2.37671232877,,
270122014,2,home,,,,-2.42038429407,-0.928571428571,2.75238095238,3.15079365079,-0.572979797979,-2.7899543379,,
270123019,2,away,,,,6.88021978022,14.7777777778,11.7333333333,9.7380952381,-2.14762917395,-1.87328767123,,
270123020,2,home,,,,4.63377825878,6.45197740113,,,-6.22382225618,-4.33333333333,-1.94775224775,-1.2380952381
270123025,2,away,,,,3.6095371669,4.2619047619,,,3.08342990343,4.17857142857,-0.878571428568,-2.0
270123027,2,away,,,,5.34050355775,8.19047619048,,,3.95146030441,2.58333333333,3.14141414142,2.95238095238
270123004,2,home,,,,-0.717948717947,3.58333333333,,,2.0875124875,0.0952380952381,-1.46944444445,-4.38888888889
270123012,2,home,,,,-6.36904369785,-7.0,-4.40404040405,-6.2619047619,0.714646464642,2.25,,
270124005,2,away,,,,-3.43726099136,-2.66666666667,-5.64987789988,-4.10714285714,-4.28903318904,-10.6666666667,,
270124011,2,home,,,,-1.82297979798,-2.7899543379,6.08970588236,4.41666666667,-2.83631958531,-3.45662100457,,
270124022,2,home,,,,-1.95515446322,-5.12328767123,2.45064935065,2.29365079365,1.9266955267,0.793378995434,-1.2393939394,-1.7380952381
270124023,2,home,,,,-4.58541796685,-5.66666666667,-4.01515151516,-6.2619047619,-1.78893939394,0.75,-4.54242424243,-3.5
